dashboard_screen,screen_description,primary_api_route,primary_db_table,secondary_db_tables,primary_module,refresh_mode,auth_required,data_freshness,dashboard_ready
Command Center,Market regime + macro overview + system health,/stock-api/market/overview,regime_history,"polygon_market_daily,macro tables,td_intraday_cache",regime_detector.py + market_regime_overlay.py,POLL_30S,No,Real-time on poll,YES_POLLING
Command Center,Job scheduler status,/stock-api/admin/scheduler-jobs,(APScheduler in-memory),(none),APScheduler,POLL_30S,ADMIN,Real-time on poll,YES_POLLING
Command Center,Macro score,/stock-api/admin/macro/latest,macro tables,(none),aiem_macro_engine.py,POLL_60S,ADMIN,Updated 9AM ET,YES_POLLING
Live Decisions,Paper portfolio open positions,/stock-api/aiem-paper-portfolio,aiem_paper_trades,(aiem_position_sizing_log),main.py:47580,POLL_30S,No,Updated each execution (9:45 ET),YES_POLLING
Live Decisions,Execution log,/stock-api/aiem-paper-portfolio/execution-log,aiem_paper_execution_log,(none),main.py:47789,POLL_60S,No,Written at execution time,YES_POLLING
Live Decisions,Options pipeline jobs,/stock-api/admin/pipeline-checkpoint,options_pipeline_jobs,(none),main.py:22609,POLL_30S,ADMIN,Updated by scheduler,YES_POLLING
Live Decisions,Pipeline audit by trace,/stock-api/admin/aiem-pipeline-audit/<trace_id>,aiem_pipeline_audit_log,(none),aiem_pipeline_audit.py,ON_DEMAND,ADMIN,Historical,YES_ON_DEMAND
Opportunity Queue,Nano-cap morning picks,/stock-api/nano-morning/picks,aiem_process_predictions,(polygon_rvol_scan),main.py:11340,POLL_60S,No,Updated 9:35 ET,YES_POLLING
Opportunity Queue,AIEM independent picks,/stock-api/aiem-predictions,aiem_process_predictions,(none),main.py:54711,POLL_60S,No,Updated 9:30 ET,YES_POLLING
Opportunity Queue,Gap+volume signal,/stock-api/gap-volume-signal,polygon_rvol_scan,(none),main.py:63383,POLL_60S,No,Updated 8:35 ET,YES_POLLING
Opportunity Queue,Full market movers,/stock-api/full-market-movers,polygon_market_daily,(polygon_rvol_scan),main.py:63371,POLL_60S,No,Updated EOD,YES_POLLING
Opportunity Queue,Washout ignition signal,/stock-api/washout-ignition-signal,washout_ignition_signal,(polygon_rvol_scan),main.py:64772,POLL_60S,No,Updated intraday,YES_POLLING
Opportunity Queue,CTA trigger scan,/stock-api/admin/run-cta-triggers,cta_trigger_scan,(none),main.py:65291,ON_DEMAND,ADMIN,Updated daily,YES_ON_DEMAND
Opportunity Queue,Pullback re-entry,/stock-api/pullback-reentry,aiem_pullback_signals,(none),main.py:64830,POLL_60S,No,Updated intraday,YES_POLLING
